Name,Easting,Northing,Type,Voltage__kV_,BSP_Group,BCA_Group__GSP_
Kirkby Thore (33 kV / 11 kV),"364439.0","526672.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Kirkhall Lane (33 kV / 11 kV),"365510.0","401069.0",Primary,33 kV / 11,Atherton,Kearsley
Kitt Green (33 kV / 6.6 kV),"354934.0","405497.0",Primary,33 kV / 6.6,Orrell,Kirkby
Knott Mill (33 kV / 6.6 kV),"383136.0","397725.0",Primary,33 kV / 6.6,Bloom St,South Manchester
Lamberhead (33 kV / 6.6 kV),"355516.0","404030.0",Primary,33 kV / 6.6,Orrell,Kirkby
Lancaster (33 kV / 11 kV),"348644.0","463628.0",Primary,33 kV / 11,Lancaster,Heysham
Langley (33 kV / 11 kV),"386421.0","406330.0",Primary,33 kV / 11,Chadderton,Whitegate
Langroyd Rd (33 kV / 6.6 kV),"389077.0","440584.0",Primary,33 kV / 6.6,Nelson,Padiham
Leigh (33 kV / 11 kV),"365863.0","399907.0",Primary,33 kV / 11,Atherton,Kearsley
Levenshulme (33 kV / 6.6 kV),"387494.0","394155.0",Primary,33 kV / 6.6,Longsight,Bredbury
Leyland National (33 kV / 11 kV),"301973.0","525948.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Little Hulton (33 kV / 11 kV),"372024.0","403826.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Little Salkeld (33 kV / 11 kV),"356221.0","537513.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Littleborough (33 kV / 6.6 kV),"393221.0","416124.0",Primary,33 kV / 6.6,Belfield,Rochdale
Longford Bridge (33 kV / 6.6 kV),"380056.0","395083.0",Primary,33 kV / 6.6,Stretford,South Manchester
Longridge (33 kV / 6.6 kV),"360581.0","437001.0",Primary,33 kV / 6.6,Preston East,Penwortham 
Longsight (33 kV / 6.6 kV),"385535.0","396037.0",Primary,33 kV / 6.6,Longsight,Bredbury
Lostock (33 kV / 11 kV),"365293.0","409079.0",Primary,33 kV / 11,Westhoughton,Kearsley
Lower Darwen (33 kV / 6.6 kV),"369695.0","424981.0",Primary,33 kV / 6.6,Lower Darwen,Rochdale
Lyons Rd (33 kV / 6.6 kV),"378253.0","397241.0",Primary,33 kV / 6.6,Barton,Carrington
Manchester University (33 kV / 6.6 kV),"384762.0","396769.0",Primary,33 kV / 6.6,Longsight,Bredbury
Marple (33 kV / 11 kV),"395671.0","388643.0",Primary,33 kV / 11,Hazel Grove,Bredbury
Marton (33 kV / 6.6 kV),"333341.0","433485.0",Primary,33 kV / 6.6,Blackpool,Penwortham 
Maryport (33 kV / 11 kV),"303716.0","535313.0",Primary,33 kV / 11,Stainburn & Siddick,Harker
Melling (33 kV / 11 kV),"360144.0","471643.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Mereside (33 kV / 6.6 kV),"334431.0","434843.0",Primary,33 kV / 6.6,Peel,Penwortham 
Middleton Junction (33 kV / 11 kV),"388606.0","405292.0",Primary,33 kV / 11,Chadderton,Whitegate
Midway (33 kV / 11 kV),"304525.0","501993.0",Primary,33 kV / 11,Egremont,Harker
Milnrow (33 kV / 6.6 kV),"392351.0","413056.0",Primary,33 kV / 6.6,Castleton,Rochdale
Mintsfeet (33 kV / 11 kV),"351827.0","494315.0",Primary,33 kV / 11,Kendal (Parkside Rd),Hutton
Monsall (33 kV / 6.6 kV),"386332.0","401003.0",Primary,33 kV / 6.6,Stuart St,Stalybridge
Monton (33 kV / 6.6 kV),"376321.0","399494.0",Primary,33 kV / 6.6,Barton,Carrington
Moorside (33 kV / 6.6 kV),"349331.0","435746.0",Primary,33 kV / 6.6,Ribble,Penwortham 
Morton Park & Pirelli (33 kV / 11 kV),"337826.0","553939.0",Primary,33 kV / 11,Carlisle,Harker
Mosley Rd (33 kV / 6.6 kV),"379058.0","396289.0",Primary,33 kV / 6.6,Stretford,South Manchester
Moss Lane (33 kV / 11 kV),"380858.0","405856.0",Primary,33 kV / 11,Kearsley Local,Kearsley
Moss Nook Primary (33 kV / 11 kV),"384084.0","385010.0",Primary,33 kV / 11,Moss Nook,South Manchester
Moss Side (Leyland) & Seven Stars (33 kV / 11 kV),"352170.0","422970.0",Primary,33 kV / 11,Leyland,Penwortham 
Moss Side (Longsight) (33 kV / 6.6 kV),"384007.0","395893.0",Primary,33 kV / 6.6,Longsight,Bredbury
Mossley (33 kV / 11 kV),"397437.0","401979.0",Primary,33 kV / 11,Hartshead-Heyrod,Stalybridge
Mount St (33 kV / 6.6 kV),"376250.0","397574.0",Primary,33 kV / 6.6,Barton,Carrington
Musgrave Rd (33 kV / 6.6 kV),"370045.0","409863.0",Primary,33 kV / 6.6,Bolton,Kearsley
Nelson (33 kV / 6.6 kV),"386020.0","438507.0",Primary,33 kV / 6.6,Nelson,Padiham
New Moston (33 kV / 6.6 kV),"388333.0","402657.0",Primary,33 kV / 6.6,Chadderton,Whitegate
Newbiggin On Lune (33 kV / 11 kV),"369770.0","505803.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Newby (33 kV / 11 kV),"360520.0","521151.0",Primary,33 kV / 11,Penrith & Shap,Hutton
Newton (33 kV / 11 kV),"396385.0","396464.0",Primary,33 kV / 11,Hyde,Stalybridge
